                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.50199,                0.42802,                 1.0931,                0.93418,                0.93509,                0.97016,                0.85961,                0.57683,                0.48436,                 1.1127,             0.00088899,             0.00088899,             0.00088899
                     36,                0.51342,                0.43173,                 1.0974,                0.91657,                0.94441,                0.93276,                0.82253,                0.59039,                0.51425,                 1.1295,             0.00086541,             0.00086541,             0.00086541
                     37,                0.50256,                0.40711,                 1.0883,                0.92101,                0.93403,                 0.9475,                0.82015,                0.56754,                0.48329,                 1.1016,             0.00084184,             0.00084184,             0.00084184
                     38,                0.49877,                0.40473,                 1.0805,                0.92855,                0.95578,                0.94095,                0.85169,                0.56459,                0.45122,                 1.0991,             0.00081826,             0.00081826,             0.00081826
                     39,                0.48381,                0.40282,                 1.0813,                0.88049,                0.91577,                0.93876,                0.84827,                0.52645,                0.46246,                  1.034,             0.00079468,             0.00079468,             0.00079468
                     40,                0.50605,                0.39694,                  1.091,                0.88373,                0.97333,                0.97579,                0.89023,                0.52919,                0.44853,                 1.0659,             0.00077111,             0.00077111,             0.00077111
                     41,                0.48871,                0.39129,                 1.0795,                0.89436,                0.92516,                  0.957,                0.85231,                0.54954,                0.49802,                 1.0927,             0.00074753,             0.00074753,             0.00074753
                     42,                0.48729,                 0.3863,                 1.0785,                 0.9223,                0.96935,                0.97592,                 0.8874,                0.55098,                0.39829,                 1.0877,             0.00072395,             0.00072395,             0.00072395
                     43,                0.47133,                0.36775,                 1.0755,                0.88651,                0.92942,                0.96734,                0.89724,                  0.521,                0.43076,                  1.054,             0.00070038,             0.00070038,             0.00070038
                     44,                0.48515,                0.39312,                  1.086,                0.89729,                0.96239,                0.92599,                0.80986,                0.58433,                0.41401,                 1.1228,              0.0006768,              0.0006768,              0.0006768
                     45,                0.46896,                 0.3668,                 1.0697,                0.94464,                0.96233,                0.97575,                0.87462,                0.55159,                0.38731,                 1.0917,             0.00065323,             0.00065323,             0.00065323
                     46,                0.47372,                0.37394,                 1.0895,                0.87317,                0.92292,                0.93976,                 0.8395,                0.54067,                0.55315,                 1.0777,             0.00062965,             0.00062965,             0.00062965
                     47,                0.45727,                0.35844,                 1.0704,                0.88243,                0.93314,                0.93761,                0.85992,                 0.5241,                0.43944,                 1.0341,             0.00060607,             0.00060607,             0.00060607
                     48,                0.46098,                0.35365,                 1.0628,                0.87977,                0.93155,                0.92151,                0.82693,                0.50634,                0.51774,                 1.0365,              0.0005825,              0.0005825,              0.0005825
                     49,                0.46268,                0.36772,                 1.0753,                0.93345,                0.93801,                0.96265,                0.88065,                0.49843,                0.39263,                 1.0124,             0.00055892,             0.00055892,             0.00055892
                     50,                0.46114,                0.36335,                 1.0652,                0.92484,                0.94701,                 0.9603,                0.87878,                0.49232,                0.42511,                 1.0061,             0.00053535,             0.00053535,             0.00053535
                     51,                0.44942,                0.34724,                 1.0611,                0.91964,                0.95721,                0.95799,                0.88202,                0.48429,                0.39938,                0.99948,             0.00051177,             0.00051177,             0.00051177
                     52,                0.45648,                0.34926,                 1.0605,                0.88209,                0.95774,                0.94079,                0.85789,                0.47889,                0.45517,                0.99323,             0.00048819,             0.00048819,             0.00048819
                     53,                0.45342,                0.34982,                 1.0555,                0.92802,                0.97619,                0.96116,                0.88392,                0.46486,                0.37611,                0.96688,             0.00046462,             0.00046462,             0.00046462
                     54,                0.42121,                0.33703,                 1.0408,                0.92655,                0.98649,                0.96521,                0.89002,                0.45893,                0.37617,                0.96669,             0.00044104,             0.00044104,             0.00044104
                     55,                 0.4341,                0.32416,                 1.0432,                0.94831,                0.98407,                0.96563,                0.89036,                  0.477,                0.35493,                0.96275,             0.00041746,             0.00041746,             0.00041746
                     56,                0.42304,                0.32443,                  1.045,                0.94286,                0.98649,                0.98031,                0.91106,                0.47187,                0.36223,                0.97197,             0.00039389,             0.00039389,             0.00039389
